RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,4%@1479,3%@1479,85%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@42.5C PMIC@100C GPU@40.5C AO@46C thermal@41.75C POM_5V_IN 3778/3265 POM_5V_GPU 0/59 POM_5V_CPU 1647/1095
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,5%@1479,2%@1479,92%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@42.5C PMIC@100C GPU@40.5C AO@46.5C thermal@41.25C POM_5V_IN 3898/3296 POM_5V_GPU 0/56 POM_5V_CPU 1805/1131
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,3%@1479,1%@1479,87%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@42.5C PMIC@100C GPU@40.5C AO@46C thermal@41.25C POM_5V_IN 3818/3321 POM_5V_GPU 0/53 POM_5V_CPU 1688/1157
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,1%@1479,87%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@42.5C PMIC@100C GPU@40.5C AO@46.5C thermal@41.5C POM_5V_IN 3784/3342 POM_5V_GPU 0/51 POM_5V_CPU 1647/1180
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,54%@1479,1%@1479,42%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43.5C PMIC@100C GPU@40.5C AO@46.5C thermal@41.75C POM_5V_IN 3858/3365 POM_5V_GPU 0/49 POM_5V_CPU 1725/1203
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,89%@1479,2%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@43.5C PMIC@100C GPU@40.5C AO@46.5C thermal@42C POM_5V_IN 3858/3385 POM_5V_GPU 0/47 POM_5V_CPU 1765/1227
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,95%@1479,1%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38C CPU@43.5C PMIC@100C GPU@40C AO@46.5C thermal@42C POM_5V_IN 3784/3401 POM_5V_GPU 0/45 POM_5V_CPU 1647/1244
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,39%@1479,51%@1479,2%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38C CPU@42.5C PMIC@100C GPU@40C AO@46.5C thermal@41.75C POM_5V_IN 3818/3417 POM_5V_GPU 0/43 POM_5V_CPU 1728/1262
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,94%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@42.5C PMIC@100C GPU@40.5C AO@46.5C thermal@41.5C POM_5V_IN 3858/3433 POM_5V_GPU 0/41 POM_5V_CPU 1725/1279
RAM 2168/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,92%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@42.5C PMIC@100C GPU@40.5C AO@46.5C thermal@41.75C POM_5V_IN 3898/3450 POM_5V_GPU 0/40 POM_5V_CPU 1765/1297
