RAM 2144/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,5%@1479,99%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.5C POM_5V_IN 4006/3607 POM_5V_GPU 0/47 POM_5V_CPU 1842/1410
RAM 2144/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,4%@1479,100%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@46.5C PMIC@100C GPU@44.5C AO@50.5C thermal@45.5C POM_5V_IN 4012/3628 POM_5V_GPU 0/44 POM_5V_CPU 1842/1433
RAM 2144/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,5%@1479,99%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@46.5C PMIC@100C GPU@44.5C AO@50.5C thermal@46C POM_5V_IN 4052/3649 POM_5V_GPU 0/42 POM_5V_CPU 1842/1453
RAM 2144/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,5%@1479,99%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@46.5C PMIC@100C GPU@44.5C AO@51C thermal@45.5C POM_5V_IN 4012/3667 POM_5V_GPU 0/40 POM_5V_CPU 1842/1472
RAM 2144/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,4%@1479,3%@1479,99%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47C PMIC@100C GPU@45C AO@50.5C thermal@45.75C POM_5V_IN 3932/3679 POM_5V_GPU 0/38 POM_5V_CPU 1842/1488
RAM 2144/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,5%@1479,99%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@46.5C PMIC@100C GPU@44.5C AO@50.5C thermal@45.75C POM_5V_IN 3932/3690 POM_5V_GPU 0/36 POM_5V_CPU 1802/1502
RAM 2144/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,5%@1479,0%@1479,99%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@46.5C PMIC@100C GPU@45C AO@51C thermal@45.75C POM_5V_IN 3932/3700 POM_5V_GPU 0/35 POM_5V_CPU 1805/1515
RAM 2144/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,100%@1479,1%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@46.5C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 3932/3709 POM_5V_GPU 0/33 POM_5V_CPU 1765/1525
RAM 2144/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,5%@1479,99%@1479,1%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@46.5C PMIC@100C GPU@44.5C AO@51C thermal@45.5C POM_5V_IN 3932/3718 POM_5V_GPU 0/32 POM_5V_CPU 1805/1535
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,99%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@46.5C PMIC@100C GPU@44.5C AO@50.5C thermal@45.75C POM_5V_IN 3972/3727 POM_5V_GPU 0/31 POM_5V_CPU 1802/1545
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,0%@1479,99%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.5C POM_5V_IN 3932/3734 POM_5V_GPU 0/30 POM_5V_CPU 1765/1553
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,3%@1479,99%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.5C POM_5V_IN 3932/3741 POM_5V_GPU 0/29 POM_5V_CPU 1765/1560
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.5C POM_5V_IN 3932/3747 POM_5V_GPU 0/28 POM_5V_CPU 1765/1567
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,99%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@50.5C thermal@45.75C POM_5V_IN 3932/3753 POM_5V_GPU 0/27 POM_5V_CPU 1765/1574
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 3932/3759 POM_5V_GPU 0/26 POM_5V_CPU 1805/1581
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 3932/3764 POM_5V_GPU 0/25 POM_5V_CPU 1805/1588
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 3932/3769 POM_5V_GPU 0/24 POM_5V_CPU 1805/1594
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 3932/3774 POM_5V_GPU 0/24 POM_5V_CPU 1805/1600
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 3972/3779 POM_5V_GPU 0/23 POM_5V_CPU 1805/1606
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 3972/3784 POM_5V_GPU 0/22 POM_5V_CPU 1802/1611
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@46C POM_5V_IN 4012/3790 POM_5V_GPU 0/22 POM_5V_CPU 1802/1616
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 4012/3796 POM_5V_GPU 0/21 POM_5V_CPU 1802/1621
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,100%@1479,0%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47C PMIC@100C GPU@45C AO@51C thermal@45.75C POM_5V_IN 3972/3800 POM_5V_GPU 0/21 POM_5V_CPU 1802/1625
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,99%@1479,1%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51.5C thermal@46C POM_5V_IN 4012/3806 POM_5V_GPU 0/20 POM_5V_CPU 1842/1630
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,99%@1479,0%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@46C POM_5V_IN 4126/3813 POM_5V_GPU 0/20 POM_5V_CPU 1802/1635
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,99%@1479,0%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 4012/3818 POM_5V_GPU 0/19 POM_5V_CPU 1842/1639
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,100%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51C thermal@45.75C POM_5V_IN 4052/3823 POM_5V_GPU 0/19 POM_5V_CPU 1842/1644
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51.5C thermal@45.75C POM_5V_IN 4012/3827 POM_5V_GPU 0/18 POM_5V_CPU 1802/1647
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,98%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42.5C CPU@47C PMIC@100C GPU@44.5C AO@51.5C thermal@45.75C POM_5V_IN 3932/3830 POM_5V_GPU 0/18 POM_5V_CPU 1802/1651
RAM 2145/3956MB (lfb 126x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@42C CPU@47C PMIC@100C GPU@44C AO@51C thermal@45.75C POM_5V_IN 3932/3832 POM_5V_GPU 0/18 POM_5V_CPU 1802/1654
