RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,96%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@47.5C PMIC@100C GPU@45.5C AO@52C thermal@46.25C POM_5V_IN 3960/3732 POM_5V_GPU 0/62 POM_5V_CPU 1800/1508
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,97%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@52C thermal@46.25C POM_5V_IN 4006/3746 POM_5V_GPU 0/58 POM_5V_CPU 1800/1524
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,96%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@52C thermal@46.25C POM_5V_IN 3926/3755 POM_5V_GPU 0/55 POM_5V_CPU 1802/1538
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,96%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51.5C thermal@46.25C POM_5V_IN 3966/3765 POM_5V_GPU 0/53 POM_5V_CPU 1802/1550
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,99%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51.5C thermal@46.25C POM_5V_IN 3966/3774 POM_5V_GPU 0/50 POM_5V_CPU 1802/1562
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,92%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@52C thermal@46.5C POM_5V_IN 3932/3781 POM_5V_GPU 0/48 POM_5V_CPU 1762/1570
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,2%@1479,94%@1479,4%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@52C thermal@46C POM_5V_IN 3926/3787 POM_5V_GPU 0/46 POM_5V_CPU 1840/1582
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,0%@1479,92%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@52C thermal@46.5C POM_5V_IN 3932/3793 POM_5V_GPU 0/44 POM_5V_CPU 1762/1589
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,97%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@48C PMIC@100C GPU@45C AO@51.5C thermal@46.5C POM_5V_IN 3926/3798 POM_5V_GPU 0/43 POM_5V_CPU 1762/1595
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,98%@1479,5%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@48C PMIC@100C GPU@45C AO@52C thermal@46.25C POM_5V_IN 3966/3804 POM_5V_GPU 0/41 POM_5V_CPU 1802/1603
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,1%@1479,100%@1479,6%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@52C thermal@46.25C POM_5V_IN 3966/3810 POM_5V_GPU 0/39 POM_5V_CPU 1802/1610
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,5%@1479,94%@1479,1%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@52C thermal@46.5C POM_5V_IN 3892/3813 POM_5V_GPU 0/38 POM_5V_CPU 1722/1614
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,94%@1479,0%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@48C PMIC@100C GPU@45.5C AO@51.5C thermal@46.5C POM_5V_IN 4006/3819 POM_5V_GPU 0/37 POM_5V_CPU 1802/1620
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,6%@1479,95%@1479,0%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51.5C thermal@46.75C POM_5V_IN 3892/3821 POM_5V_GPU 0/36 POM_5V_CPU 1722/1623
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,5%@1479,94%@1479,1%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43.5C CPU@47.5C PMIC@100C GPU@45.5C AO@51.5C thermal@46.25C POM_5V_IN 4006/3827 POM_5V_GPU 0/34 POM_5V_CPU 1840/1630
RAM 2176/3956MB (lfb 118x4MB) SWAP 1/1978MB (cached 0MB) CPU [100%@1479,7%@1479,98%@1479,0%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@43C CPU@47.5C PMIC@100C GPU@45C AO@51.5C thermal@46.75C POM_5V_IN 3932/3830 POM_5V_GPU 0/33 POM_5V_CPU 1802/1635
