RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [4%@102,0%@102,5%@102,1%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44.5C CPU@47.5C PMIC@100C GPU@44.5C AO@53C thermal@47C POM_5V_IN 2304/3238 POM_5V_GPU 82/87 POM_5V_CPU 164/1027
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [10%@102,9%@204,10%@204,7%@204] EMC_FREQ 0% GR3D_FREQ 15% PLL@44.5C CPU@47.5C PMIC@100C GPU@44.5C AO@53C thermal@46C POM_5V_IN 2584/3205 POM_5V_GPU 164/91 POM_5V_CPU 287/990
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [7%@1479,4%@1479,12%@1479,3%@1479] EMC_FREQ 0% GR3D_FREQ 9% PLL@45C CPU@48C PMIC@100C GPU@45C AO@53.5C thermal@46.25C POM_5V_IN 3266/3208 POM_5V_GPU 203/96 POM_5V_CPU 937/987
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [9%@204,3%@102,10%@204,7%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47C PMIC@100C GPU@45C AO@53.5C thermal@45.75C POM_5V_IN 2465/3175 POM_5V_GPU 123/97 POM_5V_CPU 246/953
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [20%@403,15%@403,15%@614,14%@614] EMC_FREQ 0% GR3D_FREQ 54% PLL@44.5C CPU@47.5C PMIC@100C GPU@44.5C AO@53C thermal@45.75C POM_5V_IN 2867/3161 POM_5V_GPU 122/98 POM_5V_CPU 531/935
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [12%@102,7%@102,9%@102,15%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44.5C CPU@47.5C PMIC@100C GPU@44.5C AO@53C thermal@46.25C POM_5V_IN 2383/3129 POM_5V_GPU 82/98 POM_5V_CPU 246/906
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [10%@102,10%@307,13%@307,8%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@44.5C CPU@47C PMIC@100C GPU@45C AO@53C thermal@46C POM_5V_IN 2383/3099 POM_5V_GPU 82/97 POM_5V_CPU 205/878
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [8%@102,8%@102,10%@102,5%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44C CPU@47.5C PMIC@100C GPU@44.5C AO@52.5C thermal@45.75C POM_5V_IN 2345/3070 POM_5V_GPU 82/96 POM_5V_CPU 164/851
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [12%@102,9%@102,13%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@44.5C CPU@47C PMIC@100C GPU@44.5C AO@53C thermal@46C POM_5V_IN 2465/3047 POM_5V_GPU 164/99 POM_5V_CPU 205/827
RAM 2017/3956MB (lfb 130x4MB) SWAP 1/1978MB (cached 0MB) CPU [9%@204,5%@204,8%@204,3%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@44.5C CPU@47C PMIC@100C GPU@44.5C AO@53C thermal@45.75C POM_5V_IN 2383/3024 POM_5V_GPU 82/98 POM_5V_CPU 246/806
